FACULTAD DE TELEMÁTICA,,,,,,,,,,,
HORARIOS SEMESTRE ENERO 2014 - JULIO 2014,,,,,,,,,,,
GPO,UNIDAD DE APRENDIZAJE,HCA,PROFESOR/A,L,M,Mi,J,V,LUGAR,,
2K,DISEÑO DE SOFTWARE,3,AMEZCUA VALDOVINOS ISMAEL,10/11,,,,9,L D Software,,
2K,CALCULO ,3,CORTÉS LUGO HUGO,,12,,,,L D Software,,
4A,METODOS NUMERICOS,4,NAVA BAUTISTA MARTHA XÓCHITL,1/2,,,1/2,,Auditorio 1,,
4A,INGLÉS,3,MAESTRO YY,,,5/6,,,Auditorio 1,,
4A,ECUACIONES DIFERENCIALES,4,RAMOS MICHEL ERIKA MARGARITA,,6/7,,3/4,,Auditorio 1,,
4A,INGLÉS,3,MAESTRO YY,,,,,10,Auditorio 2,,
4A,SISTEMAS EMBEBIDOS,4,PUENTE MEDINA JOSÉ MARCOS,,8/9,,,,L Arquitectura,,
4A,PROGRAMACION VISUAL,4,DAMIAN REYES PEDRO,5/6,,,5/6,,L D Software,,
4A,SISTEMAS EMBEBIDOS,4,PUENTE MEDINA JOSÉ MARCOS,,,,,8/9,L IH-C,,
4A,SISTEMAS OPERATIVOS Y SERVICIOS DE INTERNET,4,GUERRERO IBAÑEZ ANTONIO,3/4,,3/4,,,L Redes,,
4B,METODOS NUMERICOS,4,NAVA BAUTISTA MARTHA XÓCHITL,,1/2,,,1/2,Auditorio 1,,
4B,ECUACIONES DIFERENCIALES,4,RAMOS MICHEL ERIKA MARGARITA,,,5/6,,3/4,Auditorio 2,,
4B,INGLÉS,3,ARAIZA CAÑEDO MARIBEL,,,7,7/8,,Auditorio 3,,
4B,SISTEMAS EMBEBIDOS,4,PUENTE MEDINA JOSÉ MARCOS,,,,1/2,,L Arquitectura,,
4B,PROGRAMACION VISUAL,4,DAMIAN REYES PEDRO,,3/4,,3/4,,L D Software,,
4B,SISTEMAS EMBEBIDOS,4,PUENTE MEDINA JOSÉ MARCOS,,,8/9,,,L IH-C,,
4B,SISTEMAS OPERATIVOS Y SERVICIOS DE INTERNET,4,GUERRERO IBAÑEZ ANTONIO,,5/6,,5/6,,L Redes,,
4D,EVALUACIÓN DE PROYECTOS,3,AGUILAR ARIAS ANGÉLICA MARÍA,,,2,,,Auditorio 1,,
4D,METODOS ESTADISTICOS,4,SÁNCHEZ GONZÁLEZ LIBIA,,,,3,1/2,Auditorio 2,,
4D,EVALUACIÓN DE PROYECTOS,3,AGUILAR ARIAS ANGÉLICA MARÍA,1/2,,,,,Auditorio 3,,
4D,INGLÉS,3,RAMÍREZ SÁNCHEZ CLAUDIA,,,3/4,,3,Auditorio 3,,
4D,ÉTICA Y COMPORTAMIENTO HUMANO EN LAS ORGANIZACIONES,2,VÁZQUEZ GODINA AARON,4/5,,,,,Auditorio 3,,
4D,SISTEMAS EMBEBIDOS,3,BRICIO CHAPULA ENRIQUE,,1/2,,,,L Arquitectura,,
4D,METODOS ESTADISTICOS,4,SÁNCHEZ GONZÁLEZ LIBIA,6,,,,,L C Básicas,,
4D,ESTRUCTURA DE DATOS,3,RAMÍREZ GONZÁLEZ HUMBERTO,,,1,1/2,,L C Básicas,,
4D,SISTEMAS EMBEBIDOS,3,BRICIO CHAPULA ENRIQUE,3,,,,,L D Software,,
4D,SISTEMAS OPERATIVOS Y SERVICIOS DE INTERNET,3,RAMÍREZ ALCARAZ JUAN MANUEL,,4,5/6,,,L Redes,,
4E,ÉTICA Y COMPORTAMIENTO HUMANO EN LAS ORGANIZACIONES,2,VÁZQUEZ GODINA AARON,,,,6/7,,Auditorio 1,,
4E,METODOS ESTADISTICOS,4,SÁNCHEZ GONZÁLEZ LIBIA,3/4,,3/4,,,Auditorio 2,,
4E,INGLÉS,3,RAMÍREZ SÁNCHEZ CLAUDIA,,4/5,,,5,Auditorio 3,,
4E,EVALUACIÓN DE PROYECTOS,3,AGUILAR ARIAS ANGÉLICA MARÍA,,1/2,1,,,Auditorio 4,,
4E,SISTEMAS EMBEBIDOS,3,BRICIO CHAPULA ENRIQUE,,,,,1/2,L Arquitectura,,
4E,ESTRUCTURA DE DATOS,3,RAMÍREZ GONZÁLEZ HUMBERTO,1/2,,,,3,L C Básicas,,
4E,SISTEMAS EMBEBIDOS,3,BRICIO CHAPULA ENRIQUE,,,2,,,L D Software,,
4E,SISTEMAS OPERATIVOS Y SERVICIOS DE INTERNET,3,RAMÍREZ ALCARAZ JUAN MANUEL,,3,,3/4,,L Redes,,
4G,INGLÉS,3,MAESTRO YY,3/4,,,,,Auditorio 1,,
4G,ECUACIONES DIFERENCIALES,4,ANDRADE CASTILLO MARTHA ELBA,,3/4,,,,Auditorio 2,,
4G,INGLÉS,3,MAESTRO YY,,,,3,,Auditorio 3,,
4G,ECUACIONES DIFERENCIALES,4,ANDRADE CASTILLO MARTHA ELBA,,,,,3/4,Auditorio 4,,
